--系统
Confirm,确定
Cancel,取消
AdvanceWars,高级战争
AdvanceWars_LifeTime,高级战争之有生之年
File,文件
Directory,目录
--主菜单
SingleMode,单机模式
OnlineMode,联机模式
MilitaryFiles,军事资料
MilitaryDeploy,军事部署
MilitaryRecord,军事记录
GameSetting,游戏设置
About,关于
--单机模式
ScenarioMode,剧情模式
MissionMode,任务模式
VersusMode,对战模式
SurvivalMode,生存模式
CombatMode,死斗模式
--联机模式
Register,注册
Login,登陆
Username,用户名
Password,密码
PlayerInfo,玩家信息
LeaveMessage,留言
OnlinePlayer,在线玩家
--军事资料
CorpsFiles,兵种资料
CommandersFiles,CO资料
TroopsFiles,部队资料
TerrainsFiles,地形资料
WeathersFiles,天气资料
--军事部署
DesignMaps,设计地图
DesignCommanders,设计指挥官
--文件界面
SelectMap,选择地图
